clinician_id,signup_date,specialty,state,ehr_system,practice_size,org_type,annual_patient_volume,converted_to_enterprise,conversion_date
CLN_05795,2026-04-29,Primary Care,CO,eClinicalWorks,Solo,Urgent Care Chain,807,0,
CLN_05796,2024-05-21,Orthopedics,KY,None,Small (2-10),Urgent Care Chain,651,0,
CLN_05797,2024-10-06,Neurology,CO,Epic,Medium (11-50),Telehealth-Native,4540,0,
CLN_05798,2025-01-07,Pediatrics,MO,Cerner,Enterprise (200+),Telehealth-Native,70713,0,
CLN_05799,2025-02-24,Psychiatry,VA,eClinicalWorks,Small (2-10),Academic Medical Center,1173,0,
CLN_05800,2026-02-28,Oncology,MD,Cerner,Small (2-10),Hospital System,1394,0,
CLN_05801,2025-04-13,Endocrinology,MN,Epic,Small (2-10),Hospital System,1349,0,
CLN_05802,2026-03-09,Gynecology,GA,Cerner,Small (2-10),FQHC,2281,0,
CLN_05803,2024-12-16,Endocrinology,IN,Cerner,Small (2-10),FQHC,1238,0,
CLN_05804,2024-08-28,Gynecology,IN,Athenahealth,Enterprise (200+),Hospital System,29306,0,
CLN_05805,2024-04-14,Primary Care,MN,Other,Large (51-200),FQHC,9175,0,
CLN_05806,2026-02-19,Internal Medicine,SC,eClinicalWorks,Solo,Academic Medical Center,218,0,
CLN_05807,2024-07-01,Dermatology,CA,DrChrono,Medium (11-50),Private Practice,9430,0,
CLN_05808,2025-05-02,Primary Care,CA,DrChrono,Medium (11-50),Multi-Specialty Group,5353,0,
CLN_05809,2025-06-29,Internal Medicine,OK,Epic,Solo,FQHC,412,0,
CLN_05810,2025-08-30,Psychiatry,UT,Athenahealth,Small (2-10),Urgent Care Chain,1566,0,
CLN_05811,2024-07-05,Gynecology,CO,Epic,Solo,FQHC,171,0,
CLN_05812,2024-01-03,Primary Care,OK,eClinicalWorks,Small (2-10),Academic Medical Center,1351,0,
CLN_05813,2024-09-23,Psychiatry,OK,Athenahealth,Medium (11-50),Academic Medical Center,7535,0,
CLN_05814,2024-05-06,Neurology,CO,Epic,Solo,Multi-Specialty Group,205,1,2025-01-20
CLN_05815,2024-10-13,Pediatrics,CO,Cerner,Medium (11-50),Urgent Care Chain,4906,0,
CLN_05816,2025-09-29,Internal Medicine,MI,eClinicalWorks,Solo,Academic Medical Center,329,0,
CLN_05817,2024-10-11,Pediatrics,MI,Other,Large (51-200),Private Practice,18423,0,
CLN_05818,2025-02-21,Oncology,KY,Cerner,Medium (11-50),Academic Medical Center,5821,1,2025-04-03
CLN_05819,2024-06-28,Psychiatry,MA,None,Small (2-10),Hospital System,1637,0,
CLN_05820,2026-04-17,Urology,IL,Epic,Small (2-10),Academic Medical Center,866,0,
CLN_05821,2025-05-07,Pediatrics,AZ,Epic,Small (2-10),FQHC,2990,0,
CLN_05822,2025-05-14,Primary Care,TX,eClinicalWorks,Small (2-10),Hospital System,514,0,
CLN_05823,2025-08-15,Cardiology,FL,Cerner,Solo,Hospital System,238,0,
CLN_05824,2025-04-01,Dermatology,MN,Epic,Solo,Hospital System,182,0,
CLN_05825,2026-04-13,Neurology,CO,Practice Fusion,Medium (11-50),Hospital System,4711,0,
CLN_05826,2026-04-07,Psychiatry,KY,Other,Enterprise (200+),Urgent Care Chain,73447,1,2026-09-08
CLN_05827,2026-01-23,Primary Care,AZ,Athenahealth,Medium (11-50),Hospital System,5279,0,
CLN_05828,2026-02-15,Internal Medicine,UT,Epic,Solo,Private Practice,214,0,
CLN_05829,2025-07-08,Psychiatry,CO,Other,Small (2-10),Urgent Care Chain,1609,0,
CLN_05830,2026-03-31,Gynecology,PA,DrChrono,Medium (11-50),Academic Medical Center,8949,0,
CLN_05831,2026-02-21,Neurology,MN,DrChrono,Solo,Urgent Care Chain,119,0,
CLN_05832,2026-01-19,Cardiology,AZ,Epic,Solo,Telehealth-Native,283,0,
CLN_05833,2025-06-07,Cardiology,MI,Epic,Small (2-10),Hospital System,1591,0,
CLN_05834,2025-11-05,Neurology,MD,Epic,Solo,Urgent Care Chain,145,0,
CLN_05835,2025-05-13,Cardiology,IL,Cerner,Small (2-10),FQHC,865,0,
CLN_05836,2025-05-03,Oncology,AL,eClinicalWorks,Small (2-10),FQHC,1167,0,
CLN_05837,2024-11-30,Neurology,SC,Cerner,Medium (11-50),Urgent Care Chain,3946,1,2025-10-29
CLN_05838,2025-11-08,Internal Medicine,MD,Allscripts,Solo,Urgent Care Chain,424,0,
CLN_05839,2025-05-16,Dermatology,CT,Other,Enterprise (200+),FQHC,29825,0,
CLN_05840,2024-11-23,Psychiatry,TN,Other,Solo,Telehealth-Native,290,0,
CLN_05841,2024-11-13,Primary Care,MO,Cerner,Solo,Academic Medical Center,239,0,
CLN_05842,2024-05-26,Endocrinology,CA,Epic,Small (2-10),Urgent Care Chain,1013,0,
CLN_05843,2025-10-25,Primary Care,UT,Epic,Medium (11-50),Academic Medical Center,7544,0,
CLN_05844,2024-12-13,Psychiatry,PA,Cerner,Solo,Urgent Care Chain,142,0,
CLN_05845,2024-01-03,Pediatrics,CO,Cerner,Solo,Academic Medical Center,472,0,
CLN_05846,2025-07-12,Urology,FL,Athenahealth,Medium (11-50),Urgent Care Chain,9174,0,
CLN_05847,2024-05-25,Endocrinology,TX,Practice Fusion,Small (2-10),Multi-Specialty Group,1260,0,
CLN_05848,2025-06-27,Primary Care,WI,Epic,Small (2-10),Multi-Specialty Group,5518,0,
CLN_05849,2025-09-16,Cardiology,FL,Athenahealth,Medium (11-50),Academic Medical Center,8196,0,
CLN_05850,2025-05-02,Dermatology,SC,eClinicalWorks,Solo,Academic Medical Center,255,0,
CLN_05851,2024-08-26,Primary Care,TX,Epic,Small (2-10),Multi-Specialty Group,901,0,
CLN_05852,2024-01-11,Gynecology,IL,eClinicalWorks,Medium (11-50),Telehealth-Native,4402,0,
CLN_05853,2024-04-18,Orthopedics,SC,None,Solo,Academic Medical Center,155,0,
CLN_05854,2025-01-24,Psychiatry,MO,Cerner,Small (2-10),Telehealth-Native,2612,0,
CLN_05855,2025-03-01,Urology,PA,DrChrono,Medium (11-50),Hospital System,3752,0,
CLN_05856,2024-04-13,Internal Medicine,NJ,DrChrono,Medium (11-50),Multi-Specialty Group,18057,0,
CLN_05857,2024-03-12,Neurology,LA,Athenahealth,Small (2-10),FQHC,1445,0,
CLN_05858,2025-07-02,Neurology,MI,Practice Fusion,Small (2-10),Multi-Specialty Group,1596,0,
CLN_05859,2026-04-25,Primary Care,NJ,Epic,Small (2-10),FQHC,1328,0,
CLN_05860,2024-11-24,Psychiatry,UT,Epic,Large (51-200),Private Practice,40671,1,2025-09-02
CLN_05861,2025-05-04,Primary Care,IL,Epic,Small (2-10),Multi-Specialty Group,535,0,
CLN_05862,2025-03-09,Psychiatry,OH,eClinicalWorks,Small (2-10),Urgent Care Chain,1095,0,
CLN_05863,2024-03-30,Primary Care,TX,Athenahealth,Small (2-10),Multi-Specialty Group,833,0,
CLN_05864,2024-12-17,Psychiatry,TX,Allscripts,Medium (11-50),Telehealth-Native,12450,0,
CLN_05865,2025-06-29,Primary Care,SC,Athenahealth,Medium (11-50),FQHC,11792,0,
CLN_05866,2025-11-01,Pediatrics,WA,Epic,Small (2-10),FQHC,1796,0,
CLN_05867,2026-02-06,Primary Care,OK,Other,Large (51-200),Academic Medical Center,29542,1,2026-12-15
CLN_05868,2025-12-16,Psychiatry,WI,Cerner,Large (51-200),Academic Medical Center,13071,0,
CLN_05869,2024-06-28,Cardiology,OH,Other,Small (2-10),Academic Medical Center,410,0,
CLN_05870,2025-04-23,Cardiology,MN,Cerner,Medium (11-50),Academic Medical Center,15578,0,
CLN_05871,2024-11-30,Pediatrics,AL,Epic,Medium (11-50),Hospital System,4284,0,
CLN_05872,2024-09-17,Primary Care,IL,Epic,Small (2-10),Academic Medical Center,1318,0,
CLN_05873,2026-03-29,Psychiatry,FL,Athenahealth,Small (2-10),Private Practice,1242,0,
CLN_05874,2025-12-22,Gynecology,VA,Cerner,Medium (11-50),Academic Medical Center,2600,0,
CLN_05875,2025-12-08,Cardiology,AZ,Epic,Small (2-10),Urgent Care Chain,4708,0,
CLN_05876,2025-08-12,Pediatrics,TN,Cerner,Solo,Multi-Specialty Group,336,0,
CLN_05877,2023-12-31,Primary Care,MD,Cerner,Small (2-10),Multi-Specialty Group,339,0,
CLN_05878,2024-12-20,Dermatology,FL,Other,Large (51-200),Telehealth-Native,30086,0,
CLN_05879,2025-11-11,Cardiology,IL,Epic,Large (51-200),Hospital System,23917,1,2026-02-07
CLN_05880,2025-12-05,Primary Care,NC,Cerner,Solo,Private Practice,220,0,
CLN_05881,2025-05-02,Orthopedics,IL,Athenahealth,Small (2-10),Urgent Care Chain,645,0,
CLN_05882,2025-09-09,Urology,KY,Cerner,Medium (11-50),Private Practice,4715,0,
CLN_05883,2026-02-14,Cardiology,OH,Other,Small (2-10),FQHC,246,0,
CLN_05884,2024-03-02,Orthopedics,NJ,DrChrono,Medium (11-50),Telehealth-Native,8122,0,
CLN_05885,2024-08-22,Dermatology,OR,None,Small (2-10),Academic Medical Center,2028,0,
CLN_05886,2025-02-07,Psychiatry,NJ,Other,Small (2-10),Telehealth-Native,675,0,
CLN_05887,2025-08-07,Gynecology,PA,Allscripts,Medium (11-50),Academic Medical Center,2719,0,
CLN_05888,2024-04-07,Urology,MD,Athenahealth,Small (2-10),Academic Medical Center,884,0,
CLN_05889,2024-05-21,Pediatrics,VA,Cerner,Large (51-200),Hospital System,24859,1,2025-03-31
CLN_05890,2025-11-13,Primary Care,VA,Epic,Solo,FQHC,94,0,
CLN_05891,2025-06-09,Pediatrics,NJ,Other,Large (51-200),Multi-Specialty Group,39752,0,
CLN_05892,2025-06-05,Internal Medicine,IL,Allscripts,Small (2-10),Private Practice,1005,0,
CLN_05893,2024-01-09,Dermatology,MO,Athenahealth,Enterprise (200+),Urgent Care Chain,240190,1,2024-05-18
CLN_05894,2026-01-27,Neurology,PA,Allscripts,Medium (11-50),Multi-Specialty Group,5158,0,
CLN_05895,2024-04-19,Orthopedics,CT,None,Medium (11-50),Hospital System,8063,0,
CLN_05896,2024-04-19,Internal Medicine,MI,eClinicalWorks,Large (51-200),Multi-Specialty Group,14672,0,
CLN_05897,2025-07-22,Primary Care,MO,Epic,Small (2-10),Private Practice,1467,0,
CLN_05898,2024-09-16,Pediatrics,MO,Athenahealth,Small (2-10),Telehealth-Native,1252,0,
CLN_05899,2026-01-29,Psychiatry,SC,Other,Small (2-10),Academic Medical Center,1427,0,
CLN_05900,2024-09-21,Cardiology,MI,None,Small (2-10),Urgent Care Chain,771,0,
CLN_05901,2024-11-10,Internal Medicine,NC,Cerner,Enterprise (200+),Telehealth-Native,85330,0,
CLN_05902,2025-10-31,Dermatology,SC,Epic,Solo,Multi-Specialty Group,115,0,
CLN_05903,2026-02-20,Primary Care,MA,Other,Solo,Private Practice,324,0,
CLN_05904,2024-12-05,Primary Care,OK,eClinicalWorks,Solo,Academic Medical Center,265,0,
CLN_05905,2025-09-03,Neurology,SC,Practice Fusion,Solo,FQHC,214,0,
CLN_05906,2025-08-25,Oncology,WA,Athenahealth,Small (2-10),FQHC,1968,0,
CLN_05907,2025-09-26,Psychiatry,PA,Allscripts,Small (2-10),Urgent Care Chain,1687,0,
CLN_05908,2025-05-01,Gynecology,AZ,Cerner,Enterprise (200+),Hospital System,211717,1,2026-02-01
CLN_05909,2025-12-28,Psychiatry,IN,Cerner,Solo,Hospital System,135,0,
CLN_05910,2024-11-20,Primary Care,MN,Allscripts,Solo,Academic Medical Center,229,0,
CLN_05911,2024-02-25,Pediatrics,LA,Cerner,Large (51-200),Multi-Specialty Group,17404,0,
CLN_05912,2024-02-16,Dermatology,NJ,eClinicalWorks,Small (2-10),Hospital System,1611,0,
CLN_05913,2025-06-23,Neurology,WA,eClinicalWorks,Small (2-10),FQHC,1475,0,
CLN_05914,2024-06-28,Primary Care,NC,Athenahealth,Medium (11-50),Private Practice,4456,0,
CLN_05915,2025-10-06,Pediatrics,TN,Epic,Small (2-10),Urgent Care Chain,1665,0,
CLN_05916,2024-04-18,Primary Care,IN,Athenahealth,Small (2-10),Multi-Specialty Group,1268,0,
CLN_05917,2024-08-11,Psychiatry,OK,Cerner,Solo,FQHC,176,0,
CLN_05918,2024-07-24,Oncology,UT,Epic,Solo,Private Practice,293,0,
CLN_05919,2025-12-03,Gynecology,AZ,Practice Fusion,Small (2-10),FQHC,865,0,
CLN_05920,2026-01-14,Internal Medicine,MO,Epic,Solo,Academic Medical Center,214,0,
CLN_05921,2024-10-09,Cardiology,OR,Cerner,Large (51-200),Telehealth-Native,21013,0,
CLN_05922,2026-02-27,Primary Care,MI,Other,Solo,Academic Medical Center,178,0,
CLN_05923,2026-01-03,Internal Medicine,MA,Practice Fusion,Medium (11-50),Multi-Specialty Group,8831,1,2027-01-13
CLN_05924,2025-12-14,Cardiology,MN,Epic,Solo,Multi-Specialty Group,218,0,
CLN_05925,2025-02-22,Cardiology,MI,DrChrono,Small (2-10),Telehealth-Native,650,0,
CLN_05926,2024-01-16,Psychiatry,IN,DrChrono,Medium (11-50),Academic Medical Center,5137,1,2024-03-12
CLN_05927,2024-10-15,Cardiology,KY,None,Enterprise (200+),Urgent Care Chain,115808,0,
CLN_05928,2025-05-15,Urology,CT,Practice Fusion,Solo,Telehealth-Native,403,0,
CLN_05929,2025-08-17,Internal Medicine,TX,eClinicalWorks,Small (2-10),Urgent Care Chain,1593,0,
CLN_05930,2025-03-23,Primary Care,AZ,eClinicalWorks,Small (2-10),Academic Medical Center,1074,0,
CLN_05931,2024-05-29,Orthopedics,MN,eClinicalWorks,Solo,Academic Medical Center,108,0,
CLN_05932,2025-11-16,Dermatology,MO,Epic,Small (2-10),Urgent Care Chain,819,0,
CLN_05933,2025-10-03,Urology,OK,Epic,Large (51-200),Telehealth-Native,50635,0,
CLN_05934,2026-01-13,Endocrinology,KY,Practice Fusion,Solo,Telehealth-Native,161,0,
CLN_05935,2026-01-06,Psychiatry,TX,Practice Fusion,Medium (11-50),Multi-Specialty Group,10041,0,
CLN_05936,2025-03-03,Endocrinology,VA,Athenahealth,Large (51-200),Telehealth-Native,30095,0,
CLN_05937,2025-10-16,Urology,WI,Epic,Large (51-200),FQHC,8479,0,
CLN_05938,2025-12-30,Dermatology,MI,eClinicalWorks,Medium (11-50),Hospital System,4842,1,2026-12-02
CLN_05939,2024-10-04,Internal Medicine,IL,Athenahealth,Large (51-200),FQHC,36429,0,
CLN_05940,2026-01-28,Primary Care,UT,Epic,Solo,Multi-Specialty Group,285,0,
CLN_05941,2026-03-11,Oncology,MI,DrChrono,Medium (11-50),FQHC,4180,0,
CLN_05942,2024-11-16,Primary Care,TN,Other,Small (2-10),Urgent Care Chain,1029,0,
CLN_05943,2025-06-08,Psychiatry,CA,Athenahealth,Small (2-10),FQHC,1958,0,
CLN_05944,2024-07-18,Dermatology,OR,Cerner,Solo,Telehealth-Native,128,0,
CLN_05945,2025-07-18,Internal Medicine,WA,Epic,Small (2-10),Academic Medical Center,743,0,
CLN_05946,2025-04-01,Urology,VA,Cerner,Medium (11-50),Multi-Specialty Group,3258,0,
CLN_05947,2026-01-12,Primary Care,MD,Athenahealth,Small (2-10),FQHC,2742,0,
CLN_05948,2025-10-24,Urology,MD,Cerner,Large (51-200),Hospital System,34504,0,
CLN_05949,2024-09-15,Orthopedics,TX,Epic,Small (2-10),Multi-Specialty Group,1174,0,
CLN_05950,2024-02-15,Primary Care,MN,None,Solo,FQHC,240,0,
CLN_05951,2025-10-15,Cardiology,TX,Epic,Small (2-10),Hospital System,1466,0,
CLN_05952,2025-12-25,Gynecology,AL,Allscripts,Medium (11-50),FQHC,6949,0,
CLN_05953,2024-11-03,Cardiology,CO,Athenahealth,Small (2-10),Private Practice,731,0,
CLN_05954,2024-10-16,Pediatrics,WA,Cerner,Large (51-200),FQHC,35508,0,
CLN_05955,2025-08-18,Orthopedics,CA,Athenahealth,Enterprise (200+),Urgent Care Chain,61105,0,
CLN_05956,2024-04-01,Orthopedics,CT,Athenahealth,Medium (11-50),FQHC,12165,0,
CLN_05957,2024-10-24,Primary Care,VA,Cerner,Medium (11-50),Telehealth-Native,7341,0,
CLN_05958,2025-02-17,Primary Care,TN,Other,Medium (11-50),Private Practice,5424,0,
CLN_05959,2024-04-19,Cardiology,AL,Athenahealth,Large (51-200),Academic Medical Center,15759,0,
CLN_05960,2024-08-16,Pediatrics,LA,DrChrono,Medium (11-50),Academic Medical Center,5765,0,
CLN_05961,2026-05-02,Primary Care,TN,Epic,Solo,Academic Medical Center,113,0,
CLN_05962,2024-04-07,Endocrinology,CA,Practice Fusion,Small (2-10),Multi-Specialty Group,3412,1,2025-01-03
CLN_05963,2025-11-21,Internal Medicine,NC,Cerner,Solo,Private Practice,660,0,
CLN_05964,2024-08-23,Psychiatry,WA,Epic,Solo,Urgent Care Chain,58,0,
CLN_05965,2024-05-22,Pediatrics,SC,Epic,Medium (11-50),Telehealth-Native,6619,0,
CLN_05966,2024-03-12,Dermatology,MI,Practice Fusion,Large (51-200),Multi-Specialty Group,22204,0,
CLN_05967,2025-03-09,Primary Care,KY,DrChrono,Solo,FQHC,267,1,2026-04-12
CLN_05968,2025-03-07,Primary Care,MD,Allscripts,Large (51-200),Multi-Specialty Group,10042,0,
CLN_05969,2026-05-03,Psychiatry,IL,Cerner,Small (2-10),Private Practice,1344,0,
CLN_05970,2024-11-14,Gynecology,WI,eClinicalWorks,Solo,Multi-Specialty Group,129,0,
CLN_05971,2025-10-28,Internal Medicine,IL,Cerner,Small (2-10),Urgent Care Chain,2904,0,
CLN_05972,2024-02-27,Dermatology,NJ,Epic,Small (2-10),Telehealth-Native,1196,0,
CLN_05973,2024-04-05,Neurology,FL,Epic,Small (2-10),Telehealth-Native,500,0,
CLN_05974,2025-03-05,Internal Medicine,SC,eClinicalWorks,Solo,Private Practice,178,0,
CLN_05975,2025-10-09,Cardiology,LA,Epic,Solo,FQHC,163,0,
CLN_05976,2025-05-04,Pediatrics,IN,Practice Fusion,Small (2-10),Academic Medical Center,1060,0,
CLN_05977,2025-12-05,Neurology,PA,eClinicalWorks,Solo,Telehealth-Native,272,0,
CLN_05978,2025-06-06,Psychiatry,LA,Athenahealth,Solo,Urgent Care Chain,137,0,
CLN_05979,2025-07-11,Primary Care,MN,eClinicalWorks,Solo,Multi-Specialty Group,261,0,
CLN_05980,2025-04-14,Psychiatry,GA,Cerner,Small (2-10),Urgent Care Chain,787,1,2025-09-12
CLN_05981,2025-01-24,Urology,LA,Allscripts,Medium (11-50),Urgent Care Chain,8318,0,
CLN_05982,2025-07-12,Primary Care,UT,Epic,Small (2-10),FQHC,1515,0,
CLN_05983,2025-05-01,Orthopedics,OR,eClinicalWorks,Small (2-10),Multi-Specialty Group,5555,0,
CLN_05984,2023-12-28,Oncology,IL,Athenahealth,Medium (11-50),Private Practice,5607,1,2024-05-06
CLN_05985,2024-12-31,Pediatrics,MA,eClinicalWorks,Small (2-10),Telehealth-Native,2249,1,2026-01-28
CLN_05986,2025-07-10,Internal Medicine,GA,Epic,Solo,Hospital System,261,0,
CLN_05987,2025-02-25,Oncology,CT,Epic,Small (2-10),Academic Medical Center,1822,0,
CLN_05988,2024-05-17,Dermatology,NY,Allscripts,Large (51-200),Telehealth-Native,10797,1,2025-03-23
CLN_05989,2024-08-25,Neurology,OR,Epic,Medium (11-50),Private Practice,7795,0,
CLN_05990,2024-09-13,Primary Care,TN,None,Small (2-10),Private Practice,348,0,
CLN_05991,2025-05-01,Pediatrics,GA,DrChrono,Small (2-10),Multi-Specialty Group,1131,0,
CLN_05992,2024-04-16,Pediatrics,KY,Epic,Solo,Academic Medical Center,269,0,
CLN_05993,2024-07-01,Internal Medicine,MD,Cerner,Solo,Urgent Care Chain,84,0,
CLN_05994,2025-03-12,Primary Care,MI,Epic,Large (51-200),Urgent Care Chain,8667,0,
CLN_05995,2024-09-07,Primary Care,NY,eClinicalWorks,Small (2-10),FQHC,1483,0,
CLN_05996,2025-06-17,Psychiatry,CO,Practice Fusion,Small (2-10),Hospital System,476,0,
CLN_05997,2024-01-21,Internal Medicine,CT,Allscripts,Small (2-10),Academic Medical Center,2183,0,
CLN_05998,2025-06-14,Primary Care,NC,Allscripts,Solo,Hospital System,184,0,
CLN_05999,2025-07-22,Primary Care,SC,Cerner,Small (2-10),Telehealth-Native,703,0,
CLN_06000,2023-12-21,Psychiatry,IN,Other,Solo,FQHC,233,0,
CLN_06001,2026-04-21,Cardiology,GA,eClinicalWorks,Small (2-10),Hospital System,1225,0,
CLN_06002,2025-01-30,Gynecology,UT,Epic,Small (2-10),Urgent Care Chain,1594,1,2025-07-20
CLN_06003,2025-12-17,Cardiology,MI,Cerner,Medium (11-50),Hospital System,3942,1,2026-09-05
CLN_06004,2024-12-30,Psychiatry,OR,Epic,Medium (11-50),Multi-Specialty Group,8996,0,
CLN_06005,2025-04-22,Pediatrics,UT,DrChrono,Enterprise (200+),Hospital System,132248,0,
CLN_06006,2025-11-12,Gynecology,OH,Athenahealth,Small (2-10),Hospital System,603,0,
CLN_06007,2025-06-27,Pediatrics,TN,Athenahealth,Enterprise (200+),Academic Medical Center,101271,0,
CLN_06008,2026-02-24,Endocrinology,WI,Cerner,Small (2-10),Multi-Specialty Group,444,0,
CLN_06009,2025-06-23,Primary Care,MO,None,Medium (11-50),Hospital System,3203,0,
CLN_06010,2024-06-07,Primary Care,MD,Athenahealth,Small (2-10),FQHC,803,0,
CLN_06011,2024-06-02,Orthopedics,MD,Epic,Solo,Hospital System,278,0,
CLN_06012,2024-05-13,Pediatrics,MD,Allscripts,Solo,Telehealth-Native,141,0,
CLN_06013,2025-03-03,Internal Medicine,SC,Cerner,Large (51-200),Hospital System,38432,1,2026-02-24
CLN_06014,2024-05-30,Endocrinology,WA,Other,Solo,Multi-Specialty Group,223,0,
CLN_06015,2024-04-02,Neurology,NJ,Epic,Medium (11-50),Multi-Specialty Group,3854,0,
CLN_06016,2025-08-28,Psychiatry,CT,DrChrono,Small (2-10),Private Practice,1638,0,
CLN_06017,2025-07-12,Neurology,OK,Epic,Solo,Hospital System,516,0,
CLN_06018,2024-05-14,Neurology,WI,DrChrono,Small (2-10),Private Practice,1930,0,
CLN_06019,2024-03-12,Primary Care,MD,Epic,Small (2-10),FQHC,1473,0,
CLN_06020,2025-09-06,Oncology,NJ,Practice Fusion,Solo,FQHC,334,0,
CLN_06021,2026-01-31,Endocrinology,IL,Epic,Solo,Hospital System,110,0,
CLN_06022,2025-03-26,Primary Care,MN,Practice Fusion,Solo,Private Practice,94,0,
CLN_06023,2025-09-25,Pediatrics,WI,eClinicalWorks,Large (51-200),Telehealth-Native,28771,0,
CLN_06024,2025-09-01,Cardiology,MI,Epic,Small (2-10),Urgent Care Chain,885,0,
CLN_06025,2024-02-29,Pediatrics,FL,DrChrono,Enterprise (200+),Telehealth-Native,250012,0,
CLN_06026,2024-04-28,Cardiology,CA,Athenahealth,Small (2-10),Private Practice,2048,0,
CLN_06027,2025-03-25,Gynecology,CO,Cerner,Enterprise (200+),Telehealth-Native,152563,0,
CLN_06028,2025-06-08,Primary Care,TX,Other,Enterprise (200+),Urgent Care Chain,204125,0,
CLN_06029,2025-02-01,Primary Care,NY,Epic,Large (51-200),Hospital System,17598,0,
CLN_06030,2025-03-12,Psychiatry,CO,Allscripts,Small (2-10),Telehealth-Native,1223,0,
CLN_06031,2026-04-01,Primary Care,SC,Cerner,Solo,Multi-Specialty Group,294,0,
CLN_06032,2024-08-13,Internal Medicine,AZ,Epic,Small (2-10),Hospital System,2626,0,
CLN_06033,2024-04-05,Oncology,SC,DrChrono,Small (2-10),Private Practice,1513,0,
CLN_06034,2024-01-14,Internal Medicine,FL,Cerner,Medium (11-50),Multi-Specialty Group,6572,0,
CLN_06035,2024-08-27,Pediatrics,NC,Epic,Solo,Private Practice,214,0,
CLN_06036,2024-11-08,Pediatrics,MD,eClinicalWorks,Small (2-10),Hospital System,714,0,
CLN_06037,2024-02-16,Pediatrics,GA,Epic,Solo,Hospital System,114,0,
CLN_06038,2024-06-18,Orthopedics,WA,Other,Solo,Telehealth-Native,253,0,
CLN_06039,2025-07-27,Primary Care,CA,Allscripts,Enterprise (200+),Urgent Care Chain,141335,0,
CLN_06040,2024-05-02,Dermatology,IN,Allscripts,Medium (11-50),Hospital System,4842,0,
CLN_06041,2025-12-23,Primary Care,MN,Cerner,Medium (11-50),Urgent Care Chain,1519,0,
CLN_06042,2024-04-08,Endocrinology,OK,eClinicalWorks,Solo,Telehealth-Native,155,0,
CLN_06043,2023-12-28,Gynecology,TX,eClinicalWorks,Solo,Hospital System,136,0,
CLN_06044,2025-01-18,Dermatology,CO,Epic,Small (2-10),Hospital System,684,0,
CLN_06045,2024-12-08,Psychiatry,NC,None,Solo,Urgent Care Chain,111,0,
CLN_06046,2023-12-31,Cardiology,UT,Epic,Large (51-200),FQHC,28304,0,
CLN_06047,2026-01-15,Endocrinology,MI,Practice Fusion,Small (2-10),Private Practice,3295,0,
CLN_06048,2024-10-15,Internal Medicine,SC,Athenahealth,Solo,Multi-Specialty Group,360,0,
CLN_06049,2024-09-13,Oncology,WI,Cerner,Solo,Private Practice,320,0,
CLN_06050,2024-06-13,Endocrinology,FL,Epic,Solo,Academic Medical Center,109,0,
CLN_06051,2026-01-31,Cardiology,WI,Practice Fusion,Enterprise (200+),Academic Medical Center,63804,0,
CLN_06052,2025-06-15,Orthopedics,OR,None,Solo,Academic Medical Center,305,0,
CLN_06053,2024-02-10,Primary Care,CT,Other,Medium (11-50),Private Practice,1856,0,
CLN_06054,2025-04-15,Endocrinology,TX,Cerner,Large (51-200),Private Practice,26064,0,
CLN_06055,2023-12-23,Psychiatry,KY,Cerner,Medium (11-50),Urgent Care Chain,3691,0,
CLN_06056,2025-05-29,Internal Medicine,NJ,Other,Small (2-10),Private Practice,414,0,
CLN_06057,2024-06-24,Primary Care,MA,Cerner,Solo,Private Practice,216,0,
CLN_06058,2026-01-11,Psychiatry,AL,Practice Fusion,Medium (11-50),Multi-Specialty Group,14963,0,
CLN_06059,2024-03-05,Primary Care,OH,None,Solo,FQHC,241,0,
CLN_06060,2025-05-30,Primary Care,OK,Epic,Medium (11-50),FQHC,3750,1,2025-08-01
CLN_06061,2024-12-27,Primary Care,UT,Epic,Solo,Urgent Care Chain,360,0,
CLN_06062,2025-09-21,Neurology,NJ,Allscripts,Solo,Telehealth-Native,226,0,
CLN_06063,2025-06-26,Endocrinology,SC,DrChrono,Solo,Urgent Care Chain,173,0,
CLN_06064,2025-08-07,Primary Care,PA,Cerner,Medium (11-50),Urgent Care Chain,6520,0,
CLN_06065,2024-06-22,Endocrinology,CA,DrChrono,Large (51-200),Telehealth-Native,40987,1,2024-12-07
CLN_06066,2025-10-13,Orthopedics,NC,Athenahealth,Medium (11-50),Urgent Care Chain,2055,0,
CLN_06067,2026-02-07,Primary Care,CA,Cerner,Medium (11-50),Hospital System,12520,0,
CLN_06068,2024-02-09,Primary Care,TN,Cerner,Large (51-200),Urgent Care Chain,13637,1,2024-07-18
CLN_06069,2026-02-16,Endocrinology,NC,None,Medium (11-50),FQHC,4423,0,
CLN_06070,2024-08-11,Pediatrics,NY,eClinicalWorks,Medium (11-50),Telehealth-Native,21219,0,
CLN_06071,2025-08-05,Primary Care,TN,Epic,Large (51-200),FQHC,13996,0,
CLN_06072,2024-06-30,Primary Care,IN,Cerner,Large (51-200),Private Practice,35391,0,
CLN_06073,2024-01-19,Psychiatry,OK,None,Large (51-200),Hospital System,35814,0,
CLN_06074,2025-04-20,Primary Care,WA,Allscripts,Small (2-10),Academic Medical Center,1206,0,
CLN_06075,2024-08-02,Neurology,NC,Epic,Small (2-10),FQHC,3667,0,
